mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bylevel,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09007611274719238,0.011363276942964594,0.015775299072265624,0.0015528306978276256,0.5,0.4,0.01,2,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.6626323751891074,0.642965204236006,0.740909090909091,0.6242424242424243,0.6636363636363637,0.6668770916425983,0.039746069176319586,63
0.07793350219726562,0.00453549842564772,0.01696305274963379,0.0013106903590874037,0.5,0.4,0.01,2,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.6626323751891074,0.642965204236006,0.740909090909091,0.6242424242424243,0.6636363636363637,0.6668770916425983,0.039746069176319586,63
0.08667454719543458,0.0017843440761762144,0.01524972915649414,0.000527290509637199,0.5,0.4,0.01,2,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.7004538577912254,0.686838124054463,0.7333333333333333,0.6530303030303031,0.703030303030303,0.6953371842479255,0.026042956792972343,57
0.08743772506713868,0.003720580647514556,0.015442323684692384,0.0012155314823932841,0.5,0.4,0.01,2,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.7004538577912254,0.6883509833585476,0.7318181818181818,0.6530303030303031,0.703030303030303,0.6953367258057123,0.025514336396024226,58
0.09261178970336914,0.01774209006515675,0.016498041152954102,0.0013111462361629878,0.5,0.4,0.01,3,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.7670196671709532,0.7518910741301059,0.7606060606060606,0.6924242424242424,0.7484848484848485,0.7440851785632422,0.026638587556203616,37
0.07827043533325195,0.003904414665459993,0.016885137557983397,0.0016685941467116877,0.5,0.4,0.01,3,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.7670196671709532,0.7518910741301059,0.7575757575757576,0.6893939393939394,0.7484848484848485,0.7428730573511209,0.027466565287707592,42
0.09854130744934082,0.003745994136722368,0.018552064895629883,0.0029344222897804578,0.5,0.4,0.01,3,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.773071104387292,0.7609682299546142,0.7651515151515151,0.7,0.759090909090909,0.751656351716866,0.02627193734928037,35
0.10952858924865723,0.014949802045129423,0.017714452743530274,0.001156091335066074,0.5,0.4,0.01,3,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.7745839636913767,0.7609682299546142,0.7621212121212121,0.6984848484848485,0.759090909090909,0.7510498326685922,0.026842286947917154,36
0.07450814247131347,0.0037742795987394796,0.017756557464599608,0.0031983402066325423,0.5,0.4,0.05,2,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.7503782148260212,0.7413010590015129,0.7863636363636364,0.6954545454545454,0.7333333333333333,0.7413661577958098,0.029251997893649292,46
0.07175555229187011,0.0038251399889873117,0.016408967971801757,0.0016131512088714925,0.5,0.4,0.05,2,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.7503782148260212,0.7413010590015129,0.7878787878787878,0.6954545454545454,0.7348484848484849,0.7419722184018703,0.029641747007005146,44
0.08579850196838379,0.0042478604527798796,0.015220928192138671,0.0002533843922858267,0.5,0.4,0.05,2,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.75642965204236,0.789712556732224,0.7863636363636364,0.7136363636363636,0.7727272727272727,0.7637738963003713,0.027680258365565896,29
0.08759660720825195,0.012253832912799845,0.01591033935546875,0.0011063452434617131,0.5,0.4,0.05,2,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.5, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.75642965204236,0.7881996974281392,0.7863636363636364,0.7136363636363636,0.7727272727272727,0.7634713244395543,0.02740193943136844,30
